Gene A	Gene B	Probability	True interactions	Common neighbors	Num of neighbors A	Num of neighbors B
YBR160W	YDR016C	0.9936	1	169	1253	353
YDL008W	YHR030C	0.99325	0	164	671	934
YGR195W	YPL190C	0.99268	0	80	273	553
YMR186W	YBR231C	0.99127	0	247	1182	885
YKL024C	YDR182W	0.99086	1	83	230	961
YNL262W	YER094C	0.98992	1	94	592	420
YDL116W	YPL241C	0.98915	0	64	343	259
YGL113W	YDL147W	0.98624	0	72	246	608
YGR277C	YDR238C	0.9861	0	70	250	652
YLR298C	YER009W	0.98595	0	129	759	402
YDR398W	YPR161C	0.98504	0	108	282	1101
YDR288W	YDR021W	0.98469	0	52	414	312
YGR092W	YLR200W	0.98165	0	242	903	726
YGR092W	YLR200W	0.98165	1	242	903	726
YDL102W	YGR188C	0.98155	0	196	667	716
YGR006W	YPL007C	0.98114	0	44	420	175
YIL021W	YHR205W	0.98091	0	188	606	686
YCL032W	YJL101C	0.97882	0	85	727	394
YGL219C	YMR281W	0.97876	0	52	500	363
YCL032W	YDL035C	0.97837	0	126	727	675
YLR087C	YMR216C	0.97828	0	113	584	401
YGL061C	YIL021W	0.97824	0	131	430	606
YGL173C	YDR145W	0.97732	1	195	805	738
YCR094W	YGR157W	0.97708	1	114	426	687
YGR183C	YML105C	0.97694	1	30	311	374
YKL139W	YOR250C	0.97687	0	130	859	436
YKL069W	YJL029C	0.97664	0	76	355	704
YGL233W	YDR137W	0.9764	0	74	255	520
YDL156W	YOR254C	0.97598	0	82	688	600
YAR014C	YMR281W	0.97552	0	42	343	363
YJL203W	YBR193C	0.97447	0	82	327	610
YOR250C	YGR156W	0.97445	0	98	436	534
YER122C	YCR032W	0.97413	1	42	519	128
YML103C	YFR050C	0.97381	0	131	586	419
YGL168W	YCL032W	0.97332	1	151	562	727
YDR159W	YDL126C	0.97322	0	269	896	861
YDL145C	YDR016C	0.97269	0	103	589	353
YOL006C	YOR330C	0.97234	0	47	623	157
YGL203C	YGL124C	0.97193	0	45	221	425
YDR510W	YDL098C	0.97152	0	48	692	218
YJR093C	YJL054W	0.97133	0	60	477	262
YGR188C	YEL018W	0.97097	1	130	716	344
YDL100C	YCR034W	0.97073	0	87	452	536
YLR086W	YNL136W	0.9704	0	92	328	723
YNL088W	YDL006W	0.96993	0	65	221	822
YOR249C	YLR079W	0.96962	0	158	630	704
YGR188C	YLR089C	0.96958	0	115	716	424
YDL006W	YER168C	0.96947	0	62	822	260
YKL018W	YLL002W	0.96936	0	55	162	560
YJR073C	YIR006C	0.96901	0	162	602	644
YPL211W	YDR449C	0.9689	0	36	334	218
